hour, t(sec), V, I 
1, 0.00000, 2389.01, 4.0995
2, 0.00000, 2391.29, 3.8525
3, 0.00000, 2390.34, 3.69189
4, 0.00000, 2388.75, 3.73168
5, 0.00000, 2387.44, 3.82745
6, 0.00000, 2386.01, 4.02349
7, 0.00000, 2389.05, 4.16809
8, 0.00000, 2387.56, 4.40169
9, 0.00000, 2385.6, 4.68648
10, 0.00000, 2385.39, 4.85562
11, 0.00000, 2386.85, 4.91513
12, 0.00000, 2387.01, 4.97103
13, 0.00000, 2388.5, 4.88054
14, 0.00000, 2388.44, 4.88688
15, 0.00000, 2388.03, 4.92514
16, 0.00000, 2387.68, 5.15685
17, 0.00000, 2386.26, 5.34116
18, 0.00000, 2381.09, 5.9475
19, 0.00000, 2377.02, 6.27135
20, 0.00000, 2377.26, 6.08236
21, 0.00000, 2373.57, 5.7842
22, 0.00000, 2377.65, 5.32913
23, 0.00000, 2385.29, 4.49963
24, 0.00000, 2389.01, 4.09956
