hour,t(sec),kWh,State,kWOut,kWIn,kvarOut,DCkW,kWTotalLosses,kWInvLosses,kWIdlingLosses,kWChDchLosses,"kWh Chng",InvEff,InverterON,Vref,"Vavg (DRC)","VV Oper","VW Oper","DRC Oper","VV_DRC Oper","WP Oper","WV Oper",kWDesired,"kW VW Limit","Limit kWOut Function","kVA Exceeded","Grid voltage",di/dt,it,"it History","Rated VDC","Avg duty cycle","Target (Amps)","Series L","Max. Amps (phase)"
1, 0.00000, 11.6637, -1, 0, 3.91972, 3.0953, -3.91972, 0.195986, 0, 0, 0.195986, -6.99825, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -3.91972, 9999, 4.6655, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
2, 0.00000, 15.3875, -1, 0, 0.357592, 3.0947, -0.357592, 0.0178796, 0, 0, 0.0178796, 3.72373, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -0.357592, 9999, 4.6655, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
3, 0.00000, 15.7272, -1, 0, 1.7337E-7, 3.0947, -1.7337E-7, 8.66852E-9, 0, 0, 8.66852E-9, 0.339712, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -8.99322E-21, 9999, 4.6655, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
4, 0.00000, 15.7272, 1, 2.1465E-7, 0, 3.0947, 2.1465E-7, 1.12974E-8, 0, 0, 1.12974E-8, 1.64702E-7, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 2.59859E-18, 9999, 4.6655, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
5, 0.00000, 15.7272, -1, 0, 2.71729E-7, 3.0947, -2.71729E-7, 1.35865E-8, 0, 0, 1.35865E-8, -2.25948E-7, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -7.12235E-18, 9999, 4.6655, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
6, 0.00000, 15.7272, 1, 2.45035E-7, 0, 3.0947, 2.45035E-7, 1.28966E-8, 0, 0, 1.28966E-8, 2.58143E-7, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9.4607E-18, 9999, 4.6655, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
7, 0.00000, 15.7272, -1, 0, 7.2838E-6, 3.0947, -7.2838E-6, 3.6419E-7, 0, 0, 3.6419E-7, -2.57931E-7, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -7.54225E-6, 9999, 4.6655, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
8, 0.00000, 15.7272, -1, 0, 3.48157E-6, 3.0947, -3.48157E-6, 1.74078E-7, 0, 0, 1.74078E-7, 6.91961E-6, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -3.73305E-6, 9999, 4.6655, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
9, 0.00000, 15.7272, -1, 0, 2.8317E-7, 3.0947, -2.8317E-7, 1.41585E-8, 0, 0, 1.41585E-8, 3.30749E-6, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -1.6332E-17, 9999, 4.6655, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
10, 0.00000, 15.7272, 1, 3.86028, 0, 3.0947, 3.86028, 0.203173, 0, 0, 0.203173, 2.69011E-7, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 3.86028, 9999, 4.6655, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
